date,vacaria_mm,guapore_mm,lagoa_vermelha_mm,passo_fundo_mm,soledade_mm,cruz_alta_mm,salto_do_jacui_mm,sao_francisco_de_paula_mm,bento_goncalves_mm,caxias_do_sul_mm,lajeado_mm,taquari_mm,santa_cruz_do_sul_mm,julio_de_castilhos_mm,santa_maria_mm,viamao_mm,cachoeira_do_sul_mm,encruzilhada_do_sul_mm,cacapava_do_sul_mm,sao_gabriel_mm
2025-06-21 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-22 03:00:00+00:00,0.5,8.5,0.6,0.70000005,13.900001,5.5,5.5,4.7,15.0,2.8999999,12.8,9.5,7.8,4.6000004,0.0,11.1,1.0,0.0,0.0,0.0
2025-06-23 03:00:00+00:00,24.599998,9.8,26.400002,5.6,0.8,0.4,0.1,18.300001,8.599999,14.0,2.2,2.8,1.9,0.0,0.0,3.9,0.0,0.0,0.0,0.0
2025-06-24 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-25 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-26 03:00:00+00:00,8.099999,1.2,6.0,1.8000002,1.2,1.5000001,0.6,3.6,2.4,2.7,0.90000004,1.8000001,1.5,0.3,0.0,1.5000001,0.6,0.9,0.0,0.0
2025-06-27 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-28 03:00:00+00:00,8.1,7.5,11.4,8.4,3.3000002,3.3000002,0.90000004,2.6999998,2.6999998,3.6000001,2.4,0.3,0.3,0.6,0.90000004,0.0,0.0,0.0,0.0,0.3
2025-06-29 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-30 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.2,0.0,0.6,0.2,0.8,0.2
2025-07-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.3,1.0,0.70000005,0.1
2025-07-02 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2000002,1.5000001
2025-07-03 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-04 03:00:00+00:00,0.0,0.9000001,0.0,0.3,0.5,0.0,0.20000002,0.5,0.8000001,1.5,0.2,0.2,0.6,0.0,0.0,0.0,0.5,1.0,0.20000002,0.0
