data,altura_rio_guaiba_m
2023-08-01,1.23
2023-08-02,1.19
2023-08-03,1.4
2023-08-04,1.25
2023-08-05,1.3
2023-08-06,1.15
2023-08-07,1.51
2023-08-08,1.48
2023-08-09,1.23
2023-08-10,1.19
2023-08-11,1.17
2023-08-12,1.43
2023-08-13,1.42
2023-08-14,1.19
2023-08-15,1.12
2023-08-16,1.08
2023-08-17,1.13
2023-08-18,1.25
2023-08-19,1.32
2023-08-20,1.14
2023-08-21,1.16
2023-08-22,1.09
2023-08-23,1.3
2023-08-24,1.34
2023-08-25,1.24
2023-08-26,1.36
2023-08-27,1.34
2023-08-28,1.25
2023-08-29,1.19
2023-08-30,1.06
2023-08-31,1.16
2023-09-01,1.15
2023-09-02,0.98
2023-09-03,0.99
2023-09-04,1.64
2023-09-05,1.9
2023-09-06,2.33
2023-09-07,2.47
2023-09-08,2.46
2023-09-09,2.32
2023-09-10,2.2
2023-09-11,2.05
2023-09-12,2.2
2023-09-13,2.45
2023-09-14,2.7
2023-09-15,2.55
2023-09-16,2.53
2023-09-17,2.54
2023-09-18,2.62
2023-09-19,2.68
2023-09-20,2.63
2023-09-21,2.64
2023-09-22,2.68
2023-09-23,2.66
2023-09-24,2.73
2023-09-25,2.76
2023-09-26,2.8
2023-09-27,3.18
2023-09-28,3.02
2023-09-29,2.79
2023-09-30,2.68
